,district_code,district,year,month,lst,night_lst,ndvi,total_population,built_up_area_sq_m,built_up_area_sq_km
0,70168,Anuppur,2018,1,24.049896607631723,13.472584972260533,0.3796735115047753,682752.8,22421181.723921567,22.421181723921567
1,70168,Anuppur,2018,2,31.022089801632003,14.983733907981664,0.3477698183275809,682752.8,22421181.723921567,22.421181723921567
2,70168,Anuppur,2018,3,39.5980718873758,19.05634832698545,0.3073564813419388,682752.8,22421181.723921567,22.421181723921567
3,70168,Anuppur,2018,4,42.47816287620381,20.93735619725945,0.2703129662771301,682752.8,22421181.723921567,22.421181723921567
4,70168,Anuppur,2018,5,42.944661073260654,23.2632373421987,0.2747771029635752,682752.8,22421181.723921567,22.421181723921567
5,70168,Anuppur,2018,6,38.78912911199512,25.0232933938752,0.3831384312323965,682752.8,22421181.723921567,22.421181723921567
6,70168,Anuppur,2018,7,30.391036740092915,24.0556786469862,0.3894864314627208,682752.8,22421181.723921567,22.421181723921567
7,70168,Anuppur,2018,8,30.91398883606284,22.019083643718727,0.4898586521150079,682752.8,22421181.723921567,22.421181723921567
8,70168,Anuppur,2018,9,30.536768718271308,21.38266229743196,0.641759164986769,682752.8,22421181.723921567,22.421181723921567
9,70168,Anuppur,2018,10,28.358062578814167,20.087057005844265,0.5358521047435921,682752.8,22421181.723921567,22.421181723921567
10,70168,Anuppur,2018,11,29.793593146158045,12.921890101570916,0.4411239772822279,682752.8,22421181.723921567,22.421181723921567
11,70168,Anuppur,2018,12,24.175561450682626,12.442541350244015,0.396784835399684,682752.8,22421181.723921567,22.421181723921567
12,70168,Anuppur,2019,1,24.049896607631723,13.472584972260533,0.3744377111478869,688273.4,23076355.53647059,23.076355536470587
13,70168,Anuppur,2019,2,30.32921894906573,14.996980125761086,0.3517013833911999,688273.4,23076355.53647059,23.076355536470587
14,70168,Anuppur,2019,3,36.63344288612655,18.512733583622623,0.3284247933547525,688273.4,23076355.53647059,23.076355536470587
15,70168,Anuppur,2019,4,42.92071828902026,21.689454545454574,0.2864733942617576,688273.4,23076355.53647059,23.076355536470587
16,70168,Anuppur,2019,5,45.54620387876418,24.59095862275003,0.2884623025994885,688273.4,23076355.53647059,23.076355536470587
17,70168,Anuppur,2019,6,42.55000981651622,26.04926770028557,0.3318488226090332,688273.4,23076355.53647059,23.076355536470587
18,70168,Anuppur,2019,7,33.545285422039484,21.609693464828545,0.492996481358548,688273.4,23076355.53647059,23.076355536470587
19,70168,Anuppur,2019,8,29.224766013594103,21.39208620646424,0.5227810892040199,688273.4,23076355.53647059,23.076355536470587
20,70168,Anuppur,2019,9,27.55179462967769,21.73610532404709,0.6581530842731251,688273.4,23076355.53647059,23.076355536470587
21,70168,Anuppur,2019,10,29.007986639615165,18.83104477528814,0.6457892527197142,688273.4,23076355.53647059,23.076355536470587
22,70168,Anuppur,2019,11,28.29669362369436,16.911681593787215,0.5687644233659966,688273.4,23076355.53647059,23.076355536470587
23,70168,Anuppur,2019,12,23.34675748420764,11.5793800926887,0.4975180738172577,688273.4,23076355.53647059,23.076355536470587
24,70168,Anuppur,2020,1,22.746863073774488,11.986777177194892,0.4757326319385347,693794.0,23731529.34901961,23.73152934901961
25,70168,Anuppur,2020,2,27.73106190252588,15.754357298474972,0.4454264961966331,693794.0,23731529.34901961,23.73152934901961
26,70168,Anuppur,2020,3,30.330625386503165,17.13073895959184,0.4480256797974496,693794.0,23731529.34901961,23.73152934901961
27,70168,Anuppur,2020,4,37.39998403487165,21.72403218849224,0.4045990025872532,693794.0,23731529.34901961,23.73152934901961
28,70168,Anuppur,2020,5,40.57698609917517,23.10225884387479,0.3974053754450724,693794.0,23731529.34901961,23.73152934901961
29,70168,Anuppur,2020,6,35.47346969549313,22.906063789480964,0.4715617138652502,693794.0,23731529.34901961,23.73152934901961
30,70168,Anuppur,2020,7,32.21404143517577,22.53597087378644,0.524320353295909,693794.0,23731529.34901961,23.73152934901961
