Dataset,RMSE,MAE,MedAE,MAPE,R2
Training,0.6089308079029305,0.43455179119144083,0.32359429640789017,1.359941926557156,0.9929372574583449
Validation,1.909740343643746,1.5821834641093533,1.4461348980323052,5.411815812949531,0.9285807046922676
Test,3.3498546006836993,2.743890179154999,2.576758600368647,9.682883140024611,0.7247719652468497
