feature,importance,std
month_sin,1.7657979063521512,0.11068188878448242
month_cos,0.12497474108286101,0.013930221353057404
lst_lag1,0.02105300834233841,0.001778456432804318
lst_3month_avg,0.009355041568327012,0.003918554402866992
night_lst,0.009050534937048797,0.0023413979939727807
population_density,0.0016173757044024536,0.0014213982081141402
lst_12month_avg,0.0013378956617312995,0.001306573514047749
built_up_growth,0.00048009480287941977,0.00015149087490390193
total_population,0.00021184001384823756,0.0002851545555537726
year,3.7007434154171884e-18,7.299006926018895e-17
built_up_pct,-0.00016422271972681423,0.00032884834869983357
lst_anomally,-0.0005531841793658805,0.0038151307746330976
ndvi_builtup_interaction,-0.0019902604081593277,0.00034882154230230704
lst_lag2,-0.0022290533167043363,0.0009733780120629215
ndvi_anomally,-0.003678440629869299,0.0014249860876260159
ndvi,-0.005716228603289464,0.004393329348658336
lst_lag3,-0.006559933219041089,0.0017968716167584475
