feature,importance
month_sin,62.830893210926504
month_cos,11.582137836091563
ndvi_anomally,5.5742171816888995
night_lst,3.1088880944447066
year,2.9090190021437565
lst_lag3,2.7859170140608422
ndvi,2.6906920811129
lst_12month_avg,2.061745331171229
lst_3month_avg,1.4028572752267756
lst_anomally,1.3534115048359412
lst_lag1,0.9571981793529335
lst_lag2,0.7387950672115529
population_density,0.6968107797702757
ndvi_builtup_interaction,0.43804673645825365
built_up_pct,0.33293792716053133
total_population,0.30513491993283803
built_up_growth,0.2312978584104896
