Dataset,RMSE,MAE,MedAE,MAPE,R2
Training,0.6498460969446711,0.5096235560509452,0.4290803730615238,0.016101348487071482,0.991956250990318
Validation,1.9718878455843425,1.6499651355270022,1.599794555455821,0.057135835594461434,0.9238567630385686
Test,3.222901187607299,2.6937606990525396,2.4608072634419678,0.09726055436924651,0.7452379493505249
