district_code,district,year,month,lst,night_lst
70168,Anuppur,2017.0,1.0,26.451292448901818,13.69263060914809
70168,Anuppur,2017.0,3.0,38.60310556298791,15.254826968439328
70168,Anuppur,2017.0,5.0,45.13923094506119,24.17757786063103
70168,Anuppur,2017.0,6.0,40.775628655722045,23.65448827360084
70168,Anuppur,2017.0,7.0,31.159058988602524,21.178943429156416
70168,Anuppur,2017.0,8.0,29.316359048446333,22.32015422410266
70168,Anuppur,2017.0,9.0,30.66830013023716,21.72659714859884
70168,Anuppur,2018.0,2.0,31.022089801632003,14.983733907981664
70168,Anuppur,2018.0,3.0,39.5980718873758,19.05634832698545
70168,Anuppur,2018.0,4.0,42.47816287620381,20.937356197259454
70168,Anuppur,2018.0,5.0,42.944661073260654,23.2632373421987
70168,Anuppur,2018.0,6.0,38.78912911199512,25.023293393875196
70168,Anuppur,2018.0,7.0,30.391036740092915,24.0556786469862
70168,Anuppur,2018.0,8.0,30.91398883606284,22.019083643718727
70168,Anuppur,2018.0,9.0,30.536768718271308,21.38266229743196
70168,Anuppur,2018.0,11.0,29.793593146158045,12.921890101570916
70168,Anuppur,2019.0,2.0,30.32921894906573,14.996980125761086
70168,Anuppur,2019.0,3.0,36.63344288612655,18.512733583622623
70168,Anuppur,2019.0,4.0,42.92071828902026,21.689454545454574
70168,Anuppur,2019.0,5.0,45.54620387876418,24.59095862275003
70168,Anuppur,2019.0,6.0,42.55000981651622,26.04926770028557
70168,Anuppur,2019.0,7.0,33.545285422039484,21.609693464828545
70168,Anuppur,2019.0,8.0,29.224766013594103,21.39208620646424
70168,Anuppur,2019.0,9.0,27.55179462967769,21.73610532404709
70168,Anuppur,2019.0,10.0,29.007986639615165,18.83104477528814
70168,Anuppur,2019.0,11.0,28.29669362369436,16.911681593787215
70168,Anuppur,2019.0,12.0,23.34675748420764,11.5793800926887
70168,Anuppur,2020.0,1.0,22.746863073774488,11.986777177194892
70168,Anuppur,2020.0,2.0,27.73106190252588,15.754357298474972
70168,Anuppur,2020.0,3.0,30.330625386503165,17.13073895959184
70168,Anuppur,2020.0,4.0,37.39998403487165,21.72403218849224
70168,Anuppur,2020.0,5.0,40.57698609917517,23.10225884387479
70168,Anuppur,2020.0,6.0,35.47346969549313,22.906063789480964
70168,Anuppur,2020.0,7.0,32.21404143517577,22.53597087378644
70168,Anuppur,2020.0,8.0,28.664563998599967,22.075227113567216
70168,Anuppur,2020.0,9.0,30.17299637639432,22.30570280218869
70168,Anuppur,2020.0,10.0,29.11334014937412,21.03639951102773
70168,Anuppur,2020.0,11.0,28.08701315661243,14.93482125415123
70168,Anuppur,2020.0,12.0,25.722038893958565,13.084293905191895
70168,Anuppur,2021.0,1.0,26.30119419514316,13.35763413308488
70168,Anuppur,2021.0,2.0,29.86351828193252,14.210820189274502
70168,Anuppur,2021.0,3.0,37.667744380753206,18.36842723833547
70168,Anuppur,2021.0,4.0,40.79001764846588,19.363333333333383
70168,Anuppur,2021.0,5.0,36.97590119694173,22.93733594909063
70168,Anuppur,2021.0,6.0,34.13577900192458,22.223250221570165
70168,Anuppur,2021.0,7.0,34.093629472909235,22.426564886943044
70168,Anuppur,2021.0,8.0,29.62007697864566,22.534171517350003
70168,Anuppur,2021.0,9.0,28.842998059731915,22.222248065273423
70168,Anuppur,2021.0,10.0,29.407921024886875,16.630000000000024
70168,Anuppur,2021.0,11.0,27.88643582496836,15.300551408277606
70168,Anuppur,2021.0,12.0,25.148466585748327,11.176745999983696
70168,Anuppur,2022.0,1.0,22.84405872190376,12.938873316345138
70168,Anuppur,2022.0,2.0,27.45535960521307,16.72101123595507
70168,Anuppur,2022.0,4.0,42.83159435107344,22.3312409044676
70168,Anuppur,2022.0,5.0,40.41255675948655,22.649864934747495
70168,Anuppur,2022.0,6.0,41.34635249089669,21.98333263000945
70168,Anuppur,2022.0,7.0,30.780860479438854,22.6561700522432
70168,Anuppur,2022.0,8.0,28.712836589247583,21.686042255191005
70168,Anuppur,2022.0,9.0,29.2174201876479,22.32067211846152
