district_code,district,year,built_up_area_sq_m,built_up_area_sq_km,month
70168,Anuppur,2015,20455660.286274508,20.455660286274508,1
70168,Anuppur,2015,20455660.286274508,20.455660286274508,2
70168,Anuppur,2015,20455660.286274508,20.455660286274508,3
70168,Anuppur,2015,20455660.286274508,20.455660286274508,4
70168,Anuppur,2015,20455660.286274508,20.455660286274508,5
70168,Anuppur,2015,20455660.286274508,20.455660286274508,6
70168,Anuppur,2015,20455660.286274508,20.455660286274508,7
70168,Anuppur,2015,20455660.286274508,20.455660286274508,8
70168,Anuppur,2015,20455660.286274508,20.455660286274508,9
70168,Anuppur,2015,20455660.286274508,20.455660286274508,10
70168,Anuppur,2015,20455660.286274508,20.455660286274508,11
70168,Anuppur,2015,20455660.286274508,20.455660286274508,12
70168,Anuppur,2016,21110834.09882353,21.110834098823528,1
70168,Anuppur,2016,21110834.09882353,21.110834098823528,2
70168,Anuppur,2016,21110834.09882353,21.110834098823528,3
70168,Anuppur,2016,21110834.09882353,21.110834098823528,4
70168,Anuppur,2016,21110834.09882353,21.110834098823528,5
70168,Anuppur,2016,21110834.09882353,21.110834098823528,6
70168,Anuppur,2016,21110834.09882353,21.110834098823528,7
70168,Anuppur,2016,21110834.09882353,21.110834098823528,8
70168,Anuppur,2016,21110834.09882353,21.110834098823528,9
70168,Anuppur,2016,21110834.09882353,21.110834098823528,10
70168,Anuppur,2016,21110834.09882353,21.110834098823528,11
70168,Anuppur,2016,21110834.09882353,21.110834098823528,12
70168,Anuppur,2017,21766007.91137255,21.76600791137255,1
70168,Anuppur,2017,21766007.91137255,21.76600791137255,2
70168,Anuppur,2017,21766007.91137255,21.76600791137255,3
70168,Anuppur,2017,21766007.91137255,21.76600791137255,4
70168,Anuppur,2017,21766007.91137255,21.76600791137255,5
70168,Anuppur,2017,21766007.91137255,21.76600791137255,6
70168,Anuppur,2017,21766007.91137255,21.76600791137255,7
70168,Anuppur,2017,21766007.91137255,21.76600791137255,8
70168,Anuppur,2017,21766007.91137255,21.76600791137255,9
70168,Anuppur,2017,21766007.91137255,21.76600791137255,10
70168,Anuppur,2017,21766007.91137255,21.76600791137255,11
70168,Anuppur,2017,21766007.91137255,21.76600791137255,12
70168,Anuppur,2018,22421181.723921567,22.421181723921567,1
70168,Anuppur,2018,22421181.723921567,22.421181723921567,2
70168,Anuppur,2018,22421181.723921567,22.421181723921567,3
70168,Anuppur,2018,22421181.723921567,22.421181723921567,4
70168,Anuppur,2018,22421181.723921567,22.421181723921567,5
70168,Anuppur,2018,22421181.723921567,22.421181723921567,6
70168,Anuppur,2018,22421181.723921567,22.421181723921567,7
70168,Anuppur,2018,22421181.723921567,22.421181723921567,8
70168,Anuppur,2018,22421181.723921567,22.421181723921567,9
70168,Anuppur,2018,22421181.723921567,22.421181723921567,10
70168,Anuppur,2018,22421181.723921567,22.421181723921567,11
70168,Anuppur,2018,22421181.723921567,22.421181723921567,12
70168,Anuppur,2019,23076355.53647059,23.076355536470587,1
70168,Anuppur,2019,23076355.53647059,23.076355536470587,2
70168,Anuppur,2019,23076355.53647059,23.076355536470587,3
70168,Anuppur,2019,23076355.53647059,23.076355536470587,4
70168,Anuppur,2019,23076355.53647059,23.076355536470587,5
70168,Anuppur,2019,23076355.53647059,23.076355536470587,6
70168,Anuppur,2019,23076355.53647059,23.076355536470587,7
70168,Anuppur,2019,23076355.53647059,23.076355536470587,8
70168,Anuppur,2019,23076355.53647059,23.076355536470587,9
70168,Anuppur,2019,23076355.53647059,23.076355536470587,10
70168,Anuppur,2019,23076355.53647059,23.076355536470587,11
70168,Anuppur,2019,23076355.53647059,23.076355536470587,12
70168,Anuppur,2020,23731529.34901961,23.73152934901961,1
70168,Anuppur,2020,23731529.34901961,23.73152934901961,2
70168,Anuppur,2020,23731529.34901961,23.73152934901961,3
70168,Anuppur,2020,23731529.34901961,23.73152934901961,4
70168,Anuppur,2020,23731529.34901961,23.73152934901961,5
70168,Anuppur,2020,23731529.34901961,23.73152934901961,6
70168,Anuppur,2020,23731529.34901961,23.73152934901961,7
70168,Anuppur,2020,23731529.34901961,23.73152934901961,8
70168,Anuppur,2020,23731529.34901961,23.73152934901961,9
70168,Anuppur,2020,23731529.34901961,23.73152934901961,10
70168,Anuppur,2020,23731529.34901961,23.73152934901961,11
70168,Anuppur,2020,23731529.34901961,23.73152934901961,12
70168,Anuppur,2021,24413211.824313726,24.413211824313727,1
70168,Anuppur,2021,24413211.824313726,24.413211824313727,2
70168,Anuppur,2021,24413211.824313726,24.413211824313727,3
70168,Anuppur,2021,24413211.824313726,24.413211824313727,4
70168,Anuppur,2021,24413211.824313726,24.413211824313727,5
70168,Anuppur,2021,24413211.824313726,24.413211824313727,6
70168,Anuppur,2021,24413211.824313726,24.413211824313727,7
70168,Anuppur,2021,24413211.824313726,24.413211824313727,8
70168,Anuppur,2021,24413211.824313726,24.413211824313727,9
70168,Anuppur,2021,24413211.824313726,24.413211824313727,10
70168,Anuppur,2021,24413211.824313726,24.413211824313727,11
70168,Anuppur,2021,24413211.824313726,24.413211824313727,12
70168,Anuppur,2022,25094894.299607847,25.094894299607848,1
70168,Anuppur,2022,25094894.299607847,25.094894299607848,2
70168,Anuppur,2022,25094894.299607847,25.094894299607848,3
70168,Anuppur,2022,25094894.299607847,25.094894299607848,4
70168,Anuppur,2022,25094894.299607847,25.094894299607848,5
70168,Anuppur,2022,25094894.299607847,25.094894299607848,6
70168,Anuppur,2022,25094894.299607847,25.094894299607848,7
70168,Anuppur,2022,25094894.299607847,25.094894299607848,8
70168,Anuppur,2022,25094894.299607847,25.094894299607848,9
70168,Anuppur,2022,25094894.299607847,25.094894299607848,10
70168,Anuppur,2022,25094894.299607847,25.094894299607848,11
70168,Anuppur,2022,25094894.299607847,25.094894299607848,12
70168,Anuppur,2023,25776576.774901964,25.776576774901965,1
70168,Anuppur,2023,25776576.774901964,25.776576774901965,2
70168,Anuppur,2023,25776576.774901964,25.776576774901965,3
70168,Anuppur,2023,25776576.774901964,25.776576774901965,4
70168,Anuppur,2023,25776576.774901964,25.776576774901965,5
70168,Anuppur,2023,25776576.774901964,25.776576774901965,6
70168,Anuppur,2023,25776576.774901964,25.776576774901965,7
70168,Anuppur,2023,25776576.774901964,25.776576774901965,8
70168,Anuppur,2023,25776576.774901964,25.776576774901965,9
70168,Anuppur,2023,25776576.774901964,25.776576774901965,10
70168,Anuppur,2023,25776576.774901964,25.776576774901965,11
70168,Anuppur,2023,25776576.774901964,25.776576774901965,12
70168,Anuppur,2024,26458259.250196084,26.458259250196086,1
70168,Anuppur,2024,26458259.250196084,26.458259250196086,2
70168,Anuppur,2024,26458259.250196084,26.458259250196086,3
70168,Anuppur,2024,26458259.250196084,26.458259250196086,4
70168,Anuppur,2024,26458259.250196084,26.458259250196086,5
70168,Anuppur,2024,26458259.250196084,26.458259250196086,6
70168,Anuppur,2024,26458259.250196084,26.458259250196086,7
70168,Anuppur,2024,26458259.250196084,26.458259250196086,8
70168,Anuppur,2024,26458259.250196084,26.458259250196086,9
70168,Anuppur,2024,26458259.250196084,26.458259250196086,10
70168,Anuppur,2024,26458259.250196084,26.458259250196086,11
70168,Anuppur,2024,26458259.250196084,26.458259250196086,12
70168,Anuppur,2025,27139941.7254902,27.1399417254902,1
70168,Anuppur,2025,27139941.7254902,27.1399417254902,2
70168,Anuppur,2025,27139941.7254902,27.1399417254902,3
70168,Anuppur,2025,27139941.7254902,27.1399417254902,4
70168,Anuppur,2025,27139941.7254902,27.1399417254902,5
70168,Anuppur,2025,27139941.7254902,27.1399417254902,6
