district_code,district,year,month,lst,night_lst
70169,Ashoknagar,2017.0,2.0,29.54296101770447,12.919513668630147
17712,Balaghat,2017.0,2.0,30.62012079037863,17.24918367346941
17714,Betul,2017.0,2.0,34.00333011637523,16.765000000000033
17715,Bhind,2017.0,2.0,25.755270895508406,11.505348635902365
17716,Bhopal,2017.0,2.0,29.726499825032644,16.80426374802273
17718,Chhatarpur,2017.0,2.0,28.92907850869323,13.10569648093844
17719,Chhindwara,2017.0,2.0,33.78974306891274,16.914883291573293
17720,Damoh,2017.0,2.0,30.79945437501514,14.83230692601348
17721,Datia,2017.0,2.0,25.91013433780103,11.703106487563051
17722,Dewas,2017.0,2.0,32.043753491443084,15.79178571428574
17723,Dhar,2017.0,2.0,33.04502306725566,16.116269328515912
17727,Gwalior,2017.0,2.0,28.3372555474957,14.058788796530552
17729,Indore,2017.0,2.0,31.01827146492328,17.99050140107114
17731,Jhabua,2017.0,2.0,34.75434137557407,17.23900825015435
17735,Narsinghpur,2017.0,2.0,30.894994060272264,16.45183887915941
17736,Panna,2017.0,2.0,30.560795153097537,15.292361954209227
17739,Raisen,2017.0,2.0,30.36622988232918,14.265958699472792
17742,Ratlam,2017.0,2.0,31.513422368706664,12.303558271307601
17743,Rewa,2017.0,2.0,28.30717994161925,15.808775826547649
17744,Sagar,2017.0,2.0,31.03666149591809,13.225226475214802
17745,Satna,2017.0,2.0,28.46878279778818,16.064351820032275
17746,Sehore,2017.0,2.0,31.211803556674504,17.226316706891957
17747,Seoni,2017.0,2.0,32.612856388279816,14.723000000000033
17749,Shajapur,2017.0,2.0,31.528069340545812,11.450946243883232
17750,Shivpuri,2017.0,2.0,29.96567851970119,12.60106941037263
17751,Sidhi,2017.0,2.0,28.683366357552536,15.16385117727048
17753,Tikamgarh,2017.0,2.0,28.493390476296856,12.849924635532526
17754,Ujjain,2017.0,2.0,29.387098200604452,15.306261433737527
17755,Vidisha,2017.0,2.0,29.494830027601747,13.37522374985272
70171,Burhanpur,2017.0,2.0,35.80234354645462,18.910882352941204
17728,Hoshangabad,2017.0,3.0,37.84841161552818,16.69634525259645
17730,Jabalpur,2017.0,3.0,38.576691101350065,17.583168078090743
17732,Mandla,2017.0,3.0,40.37884318206848,14.898875354731716
17733,Mandsaur,2017.0,3.0,41.639476452405205,18.89878508771932
17734,Morena,2017.0,3.0,36.00382210107907,19.251998653244033
17741,Rajgarh,2017.0,3.0,43.82010168348564,17.74178546389346
17756,West Nimar,2017.0,3.0,44.30732710319076,16.80938522046622
70170,Barwani,2017.0,3.0,44.75489169420662,18.076416297442403
70172,Dindori,2017.0,3.0,39.20373123976401,14.711972211531707
70173,Harda,2017.0,3.0,40.593546550981856,15.630140845070448
70174,Katni,2017.0,3.0,37.71658968147045,14.815793101392282
70175,Neemuch,2017.0,3.0,41.610044885397734,19.48520531216612
70176,Sheopur,2017.0,3.0,39.41989682629544,17.478741800709198
70177,Umaria,2017.0,3.0,37.50395879040421,14.91483900507825
17725,East Nimar,2017.0,3.0,42.93480369544213,16.53027943071281
17726,Guna,2017.0,3.0,41.383458407377105,18.80505796113198
17748,Shahdol,2017.0,3.0,38.067128063984974,14.634624002734782
70168,Anuppur,2017.0,3.0,38.60310556298791,15.254826968439328
70169,Ashoknagar,2017.0,3.0,40.86051386470526,15.050000000000031
17712,Balaghat,2017.0,3.0,37.949750497599055,17.256202168098035
17714,Betul,2017.0,3.0,42.43293262840832,16.018239179033213
17715,Bhind,2017.0,3.0,36.420636140673636,16.132344788837937
17716,Bhopal,2017.0,3.0,40.15960406082023,18.761380454754274
17718,Chhatarpur,2017.0,3.0,39.26083926789392,16.21885951661634
17719,Chhindwara,2017.0,3.0,42.21861809800927,16.29541849657379
17720,Damoh,2017.0,3.0,41.312567476989656,16.644993484224994
17721,Datia,2017.0,3.0,35.459863962073314,16.646349946217306
17722,Dewas,2017.0,3.0,42.7558573245533,17.73125603514374
17723,Dhar,2017.0,3.0,43.20365439235389,18.55829954079833
17727,Gwalior,2017.0,3.0,37.28973217903657,19.57796618218769
17729,Indore,2017.0,3.0,41.282534479676904,22.220521320093482
17731,Jhabua,2017.0,3.0,43.40957742243032,16.93045074203187
17735,Narsinghpur,2017.0,3.0,40.016323797624445,16.353503325118613
17736,Panna,2017.0,3.0,40.25290255418926,16.12908320876934
17739,Raisen,2017.0,3.0,40.84031672622068,16.466417941879953
17742,Ratlam,2017.0,3.0,42.34269362852222,21.374444444444478
17743,Rewa,2017.0,3.0,36.24120938585567,16.85350926077694
17744,Sagar,2017.0,3.0,42.05236762349895,14.866374099373106
17745,Satna,2017.0,3.0,37.00199563287974,16.190471190485386
17746,Sehore,2017.0,3.0,42.15669147362877,17.48283606198329
17747,Seoni,2017.0,3.0,41.24175830107135,16.62541985662115
17749,Shajapur,2017.0,3.0,43.10485014735024,20.520000000000035
17750,Shivpuri,2017.0,3.0,39.69360989028023,16.712616018725843
17751,Sidhi,2017.0,3.0,36.6565800068741,16.553300842039246
17753,Tikamgarh,2017.0,3.0,39.149491888931394,16.796666666666695
17754,Ujjain,2017.0,3.0,41.12993264937617,21.460555555555587
17755,Vidisha,2017.0,3.0,41.27687289792079,15.156111328890658
70171,Burhanpur,2017.0,3.0,43.86336011085373,17.431735080248508
17728,Hoshangabad,2017.0,4.0,45.51051268360117,18.09810424977399
17730,Jabalpur,2017.0,4.0,45.72801776688348,23.025436813748932
17732,Mandla,2017.0,4.0,46.49343209460247,22.88500000000002
17733,Mandsaur,2017.0,4.0,46.74249155762204,24.68217750628821
17734,Morena,2017.0,4.0,44.192151635432815,23.158137114575183
17741,Rajgarh,2017.0,4.0,48.65964452489472,22.49200000000003
17756,West Nimar,2017.0,4.0,49.29075667335253,26.739475806451647
70170,Barwani,2017.0,4.0,49.24911705309347,25.64727272727275
70172,Dindori,2017.0,4.0,45.117814404091035,21.364146341463442
70173,Harda,2017.0,4.0,47.151509229536686,17.664163666752405
70174,Katni,2017.0,4.0,45.45443983409719,21.767142484342422
70175,Neemuch,2017.0,4.0,46.58481296753855,26.146856088560927
70176,Sheopur,2017.0,4.0,45.606202336476315,23.30208272608648
70177,Umaria,2017.0,4.0,44.371590198798756,23.975000000000037
17725,East Nimar,2017.0,4.0,47.88466558320446,25.920145228215794
