district_code,district,year,built_up_area_sq_m,built_up_area_sq_km
17742,Ratlam,2015,4.398013984705883E7,43.98013984705883
17743,Rewa,2015,5.877896690588235E7,58.77896690588235
17744,Sagar,2015,5.01673289137255E7,50.167328913725505
17745,Satna,2015,6.025762991764706E7,60.25762991764706
17746,Sehore,2015,4.426337351372549E7,44.26337351372549
17747,Seoni,2015,4.415897123921569E7,44.15897123921569
17749,Shajapur,2015,4.348838258431373E7,43.488382584313726
17750,Shivpuri,2015,4.1054916619607836E7,41.05491661960784
17751,Sidhi,2015,8.240288757254902E7,82.40288757254902
17753,Tikamgarh,2015,3.457868991764706E7,34.578689917647054
17754,Ujjain,2015,6.743720492156863E7,67.43720492156864
17755,Vidisha,2015,3.6119397725490205E7,36.1193977254902
70171,Burhanpur,2015,1.5556399776470589E7,15.556399776470588
17728,Hoshangabad,2020,4.120079046274509E7,41.20079046274509
17730,Jabalpur,2020,6.176061606666667E7,61.76061606666667
17732,Mandla,2020,3.2160738364705883E7,32.160738364705885
17733,Mandsaur,2020,5.200198250588234E7,52.00198250588234
17734,Morena,2020,4.748009489803922E7,47.48009489803922
17741,Rajgarh,2020,4.4354233807843134E7,44.35423380784314
17756,West Nimar,2020,5.759952868627451E7,57.59952868627451
70170,Barwani,2020,4.3420652015686266E7,43.420652015686265
70172,Dindori,2020,1.9865814286274508E7,19.865814286274507
70173,Harda,2020,2.094113301176471E7,20.94113301176471
70174,Katni,2020,4.871213039999999E7,48.71213039999999
70175,Neemuch,2020,3.2432880949019615E7,32.43288094901961
70176,Sheopur,2020,1.8382081717647057E7,18.382081717647058
70177,Umaria,2020,1.7378822603921566E7,17.378822603921567
17725,East Nimar,2020,3.895857445490196E7,38.958574454901964
17726,Guna,2020,3.2466899513725482E7,32.46689951372548
17748,Shahdol,2020,6.5039258298039205E7,65.0392582980392
70168,Anuppur,2020,2.373152934901961E7,23.73152934901961
70169,Ashoknagar,2020,2.598354239215686E7,25.983542392156863
17712,Balaghat,2020,6.0374715439215675E7,60.37471543921568
17714,Betul,2020,4.851578777647058E7,48.51578777647058
17715,Bhind,2020,4.460533992156863E7,44.605339921568635
17716,Bhopal,2020,7.349847320784315E7,73.49847320784315
17718,Chhatarpur,2020,5.04491076E7,50.449107600000005
17719,Chhindwara,2020,6.113503654509803E7,61.13503654509803
17720,Damoh,2020,2.855186430980392E7,28.55186430980392
17721,Datia,2020,1.9720424141176466E7,19.720424141176466
17722,Dewas,2020,5.575467909019609E7,55.754679090196085
17723,Dhar,2020,8.582245098039214E7,85.82245098039215
17727,Gwalior,2020,5.3731456313725494E7,53.731456313725495
17729,Indore,2020,1.053856855254902E8,105.38568552549019
17731,Jhabua,2020,6.796918012549019E7,67.96918012549018
17735,Narsinghpur,2020,3.4689637262745105E7,34.6896372627451
17736,Panna,2020,2.8233928266666666E7,28.233928266666666
17739,Raisen,2020,4.20546188117647E7,42.054618811764705
17742,Ratlam,2020,5.433334172156862E7,54.33334172156862
17743,Rewa,2020,7.167921262352942E7,71.67921262352942
17744,Sagar,2020,5.852268377254902E7,58.522683772549016
17745,Satna,2020,6.949854870980394E7,69.49854870980394
17746,Sehore,2020,5.127342090196079E7,51.27342090196079
17747,Seoni,2020,4.701322730980392E7,47.013227309803916
17749,Shajapur,2020,4.950478955686274E7,49.50478955686274
17750,Shivpuri,2020,5.005872502352941E7,50.05872502352941
17751,Sidhi,2020,1.2851551420392159E8,128.51551420392158
17753,Tikamgarh,2020,4.123799417254904E7,41.23799417254904
17754,Ujjain,2020,7.058420476078431E7,70.58420476078432
17755,Vidisha,2020,4.082487488627452E7,40.824874886274515
70171,Burhanpur,2020,1.6784323752941176E7,16.784323752941177
17728,Hoshangabad,2025,4.5797180349019594E7,45.79718034901959
17730,Jabalpur,2025,6.6973115729411766E7,66.97311572941176
17732,Mandla,2025,3.6604296219607845E7,36.604296219607846
17733,Mandsaur,2025,5.78258246745098E7,57.8258246745098
17734,Morena,2025,5.3647282729411766E7,53.647282729411764
17741,Rajgarh,2025,4.985641890980392E7,49.85641890980392
17756,West Nimar,2025,6.4375056027450986E7,64.37505602745098
70170,Barwani,2025,5.1943212156862736E7,51.943212156862735
70172,Dindori,2025,2.309191107843137E7,23.091911078431373
70173,Harda,2025,2.3305495062745094E7,23.305495062745095
70174,Katni,2025,5.3983729384313725E7,53.983729384313726
70175,Neemuch,2025,3.6132285466666676E7,36.13228546666667
70176,Sheopur,2025,2.023697615686274E7,20.236976156862738
70177,Umaria,2025,2.013223682745098E7,20.132236827450978
17725,East Nimar,2025,4.332912794117647E7,43.329127941176466
17726,Guna,2025,3.6397694611764714E7,36.39769461176471
17748,Shahdol,2025,7.799273867058823E7,77.99273867058822
