district_code,district,year,month,lst,night_lst,ndvi
70169,Ashoknagar,2025,5,40.44060844034002,24.43459067629359,0.2376272574136821
70169,Ashoknagar,2025,6,39.85412613541484,26.69191971172241,0.1912174048957523
70169,Ashoknagar,2025,7,27.209508675318883,22.55105736641708,0.4182835608733735
70169,Ashoknagar,2025,8,28.217397105810644,23.67005984155984,0.631606055458761
70169,Ashoknagar,2025,9,28.932146231891785,21.810078527467937,0.6113227066321181
70169,Ashoknagar,2025,10,28.632142962888967,16.659198502384566,0.4605389117162424
70169,Ashoknagar,2025,11,25.947273020355773,14.617536819637165,0.3966474858188026
70169,Ashoknagar,2025,12,20.977576534120487,12.76875000000003,0.5528353770944396
17712,Balaghat,2018,1,26.37923602151035,13.958050924522608,0.5298328442218563
17712,Balaghat,2018,2,29.338389036100867,16.26396583329754,0.4821718859105523
17712,Balaghat,2018,3,37.09980283996593,20.54638944277455,0.3930166504444459
17712,Balaghat,2018,4,40.46357225396401,22.31356025308796,0.3560685644858047
17712,Balaghat,2018,5,40.81058750165938,24.36246455444959,0.3605695847518554
17712,Balaghat,2018,6,35.5874579003613,24.69600624006145,0.4980217353048962
17712,Balaghat,2018,7,27.15899855365232,20.994615483732456,0.2466142999595593
17712,Balaghat,2018,8,22.903522727272744,21.02060395518073,0.4614204171068091
17712,Balaghat,2018,9,28.85264896546781,20.997856119008045,0.7548160497691369
17712,Balaghat,2018,10,29.336750219186367,19.87212378017465,0.639860552592311
17712,Balaghat,2018,11,28.77225102720972,17.5566666666667,0.5817400436112478
17712,Balaghat,2018,12,23.46013421370742,16.116770937797376,0.5656338611079665
17712,Balaghat,2019,1,24.21526102852929,15.391645886706549,0.5415541147783042
17712,Balaghat,2019,2,28.3170905405082,16.558955067863337,0.5041703820821807
17712,Balaghat,2019,3,34.66110353231685,19.189038912929497,0.4393131792412024
17712,Balaghat,2019,4,41.78207981320122,23.653932130748164,0.367233212314172
17712,Balaghat,2019,5,44.46686355390061,25.84033799759044,0.3673768519987981
17712,Balaghat,2019,6,42.67792523033655,26.34522271007444,0.3426510008999653
17712,Balaghat,2019,7,31.43329557436906,21.94025589681635,0.4554879140523717
17712,Balaghat,2019,8,26.732166441171174,22.086271346116845,0.4072100262415513
17712,Balaghat,2019,9,26.78413766294397,20.57432483486213,0.6787843176138127
17712,Balaghat,2019,10,28.13823038786297,19.58134467417703,0.7611809977467199
17712,Balaghat,2019,11,26.961723104297366,19.85604131858273,0.6787534239516418
17712,Balaghat,2019,12,24.08787407053841,14.90130549491482,0.6224282418001273
17712,Balaghat,2020,1,22.778764301934043,13.457898896938548,0.6175737106378535
17712,Balaghat,2020,2,26.51507557670777,15.120457790395545,0.596261031890204
17712,Balaghat,2020,3,30.273980995887225,19.308427816984985,0.5357655145936978
17712,Balaghat,2020,4,37.48926713637881,22.911102654242107,0.4691170562426464
17712,Balaghat,2020,5,40.02695418094795,22.96596969666645,0.465713448067216
17712,Balaghat,2020,6,35.31461200197512,23.69591754653521,0.596384747595453
17712,Balaghat,2020,7,30.405821134395573,22.799196504972784,0.5557162761248502
17712,Balaghat,2020,8,27.794887754307865,21.33694349636121,0.6413852385691825
17712,Balaghat,2020,9,28.26519666077084,22.262708301594937,0.7618776444970858
17712,Balaghat,2020,10,28.338978887234216,21.64289844625621,0.6899799639499857
17712,Balaghat,2020,11,27.805561984412776,19.100000000000023,0.6295047378616309
17712,Balaghat,2020,12,25.58258507543572,15.557874593855116,0.6106006156627769
17712,Balaghat,2021,1,26.022450227370427,14.595685425530691,0.5699182917694171
17712,Balaghat,2021,2,28.925527337501507,15.28676038026068,0.5228006311177444
17712,Balaghat,2021,3,34.85630215489839,19.956993353903208,0.4463061053014762
17712,Balaghat,2021,4,39.299250874102384,22.11098388280304,0.4065873229199999
17712,Balaghat,2021,5,36.84427716667518,24.07885463473388,0.5288707608691794
17712,Balaghat,2021,6,33.936390565608605,23.46197156512847,0.6073474198972536
17712,Balaghat,2021,7,32.07721459500194,22.35675050662854,0.4304323817909627
17712,Balaghat,2021,8,28.31696982853328,22.092526150165465,0.63524700763227
17712,Balaghat,2021,9,27.556087030378947,20.96815059452583,0.6758988561150251
17712,Balaghat,2021,10,28.538661641663627,18.360310397474628,0.7469970163441121
17712,Balaghat,2021,11,27.03188697619936,17.781927625086038,0.6415952880018257
17712,Balaghat,2021,12,24.453478122284583,14.11147088781193,0.5899667283211396
17712,Balaghat,2022,1,22.89686898118569,15.0747499697678,0.5845261343230701
17712,Balaghat,2022,2,26.994233536941245,19.58673940132082,0.5479855351160929
17712,Balaghat,2022,3,36.57104733681228,20.15222222222225,0.4488275316288027
17712,Balaghat,2022,4,40.48588620400555,23.99484801438658,0.4034843398174495
17712,Balaghat,2022,5,37.84588461027911,23.83650749075513,0.4147726751050929
17712,Balaghat,2022,6,38.14919333156597,26.363016900327107,0.466792370077339
17712,Balaghat,2022,7,29.668786538509544,22.24769811283388,0.4420896380792496
17712,Balaghat,2022,8,27.00163159092964,21.23142893870767,0.6728050215875496
17712,Balaghat,2022,9,27.347841530322103,21.60519013615936,0.7242187533243968
17712,Balaghat,2022,10,26.8555748634467,21.810374344629984,0.6996185355804527
17712,Balaghat,2022,11,25.68814106477383,17.88157894736845,0.644446192298962
17712,Balaghat,2022,12,24.90083705888135,15.933881627931749,0.5987118443112341
17712,Balaghat,2023,1,24.977471903226643,16.530066770787087,0.5693635337285194
17712,Balaghat,2023,2,29.23616171116901,18.930651202689152,0.5046845285278092
17712,Balaghat,2023,3,32.83640799479031,19.51902356785304,0.4628529952052821
17712,Balaghat,2023,4,35.98821133754367,21.727836889702925,0.4949354393551088
17712,Balaghat,2023,5,37.533807780910045,21.482385678590227,0.5142940760168042
17712,Balaghat,2023,6,39.12920455813644,25.574699884758893,0.3995642147742404
17712,Balaghat,2023,7,29.29381720539177,23.383338990931684,0.4585444313545307
17712,Balaghat,2023,8,27.689505902499423,22.049636170000884,0.685942437675702
17712,Balaghat,2023,9,27.7326942711598,20.596133445990827,0.7586392607263239
17712,Balaghat,2023,10,27.53932236859887,23.290000000000035,0.7090589457371554
17712,Balaghat,2023,11,26.91724622057725,17.705025250371094,0.6203111955849684
17712,Balaghat,2023,12,22.728196676825625,13.6670489254856,0.6241774323707376
17712,Balaghat,2024,1,22.991063422878312,15.858781302959525,0.5798331266651034
17712,Balaghat,2024,2,26.815847774441124,18.60950921796457,0.5422559620448246
17712,Balaghat,2024,3,31.83567199462124,20.88776897223157,0.4617699251872275
17712,Balaghat,2024,4,35.883723419127044,21.01532075454211,0.5070285718568348
17712,Balaghat,2024,5,34.18403470094914,24.50336608268923,0.5343408863700186
17712,Balaghat,2024,6,36.74836667693912,24.99926000034313,0.4487881222741777
17712,Balaghat,2024,7,28.91653514478896,23.57648929964432,0.3346905966655389
17712,Balaghat,2024,8,26.38504932977437,21.58574108056405,0.5513196239514414
17712,Balaghat,2024,9,27.73477007459189,21.565522945733104,0.7838268943736552
17712,Balaghat,2024,10,27.58054868443166,20.831103592657684,0.6730595077928699
17712,Balaghat,2024,11,24.759946263611862,15.55097560975613,0.5986316641433772
17712,Balaghat,2024,12,23.31372347786391,16.670607611078683,0.5811281582063934
17712,Balaghat,2025,1,22.925289535481543,14.55895147997354,0.5677887251581905
17712,Balaghat,2025,2,27.52527336718399,17.891730769230794,0.4864278024554195
17712,Balaghat,2025,3,33.40739744447715,22.56142857142861,0.4404350209720733
17712,Balaghat,2025,4,36.26652672546362,23.786999004566404,0.4181957297851898
17712,Balaghat,2025,5,34.22613907398617,24.45413470373524,0.4941315393216432
17712,Balaghat,2025,6,34.64416366358192,25.922913169648464,0.311372512569234
17712,Balaghat,2025,7,28.395823561967184,20.68324010711102,0.5066130237839295
17712,Balaghat,2025,8,26.143653455621035,21.64872618533627,0.6221446245075732
17712,Balaghat,2025,9,25.964410997559305,21.36916104615341,0.7751025947713899
17712,Balaghat,2025,10,26.5189709851696,21.25265525673441,0.7325884631610646
17712,Balaghat,2025,11,21.82455408743884,17.75944178283563,0.6627827656143408
17712,Balaghat,2025,12,19.3949063910786,14.212000000000046,0.6154155271594342
70170,Barwani,2018,1,32.28046557629373,16.001811999395528,0.4042142261058793
70170,Barwani,2018,2,36.449899433436194,17.156850308428087,0.3374794806499915
70170,Barwani,2018,3,44.74097871027079,20.964818528951508,0.2593534912199832
70170,Barwani,2018,4,49.66426496690876,26.703484893807985,0.2359103629068503
70170,Barwani,2018,5,47.82256352548145,29.19864924958313,0.2139408703653469
70170,Barwani,2018,6,39.111277230097365,23.67242216218424,0.2648560317018398
70170,Barwani,2018,7,31.22924513582642,15.887965483826289,0.216505165305517
70170,Barwani,2018,8,25.588629309756424,18.82869489490508,0.4994767129214287
70170,Barwani,2018,9,32.82858153313576,21.456964040744456,0.6074989452942281
70170,Barwani,2018,10,37.92249610700383,21.620548523206786,0.4317945604410047
70170,Barwani,2018,11,36.25284731505177,16.748271486108933,0.3863661592208353
70170,Barwani,2018,12,30.897430802869124,13.225173173803556,0.3605478304689742
70170,Barwani,2019,1,30.153338096450085,13.42611111111114,0.3560670126524941
70170,Barwani,2019,2,35.361605724825466,16.743067693423992,0.325785892352597
70170,Barwani,2019,3,44.83519114928744,19.516698824633604,0.2510509830620864
70170,Barwani,2019,4,50.37227186641359,28.44701271736312,0.2330006096978214
70170,Barwani,2019,5,48.68269027248642,29.91600000000002,0.215373287091097
70170,Barwani,2019,6,43.55067137901258,25.211129145706224,0.1985131543216834
70170,Barwani,2019,7,37.5511348466453,23.860564446657648,0.35361269994231
70170,Barwani,2019,8,28.39988258290043,16.932035639628243,0.4250850940509681
70170,Barwani,2019,9,29.83494392683357,20.10855216751288,0.6262523105432884
70170,Barwani,2019,10,32.996436988240525,21.13950021171342,0.6282803604947879
70170,Barwani,2019,11,31.87149461660924,20.58638033639801,0.5547537927270819
