zone,year,month,built_up_percent,method
12,2018,12,76.5176079263065,extrapolated
1,2019,1,76.5142685103546,extrapolated
2,2019,1,64.97203621769562,extrapolated
3,2019,1,33.11407975097622,extrapolated
4,2019,1,62.33502764401641,extrapolated
5,2019,1,64.69585091420535,extrapolated
6,2019,1,49.54265295836874,extrapolated
7,2019,1,20.498585745329734,extrapolated
8,2019,1,63.84137233724749,extrapolated
9,2019,1,27.008754073658952,extrapolated
10,2019,1,67.94152821772576,extrapolated
11,2019,1,71.20940835754888,extrapolated
12,2019,1,79.91091285317381,extrapolated
1,2019,2,76.5142685103546,extrapolated
2,2019,2,64.97203621769562,extrapolated
3,2019,2,33.11407975097622,extrapolated
4,2019,2,62.33502764401641,extrapolated
5,2019,2,64.69585091420535,extrapolated
6,2019,2,49.54265295836874,extrapolated
7,2019,2,20.498585745329734,extrapolated
8,2019,2,63.84137233724749,extrapolated
9,2019,2,27.008754073658952,extrapolated
10,2019,2,67.94152821772576,extrapolated
11,2019,2,71.20940835754888,extrapolated
12,2019,2,79.91091285317381,extrapolated
1,2019,3,76.5142685103546,extrapolated
2,2019,3,64.97203621769562,extrapolated
3,2019,3,33.11407975097622,extrapolated
4,2019,3,62.33502764401641,extrapolated
5,2019,3,64.69585091420535,extrapolated
6,2019,3,49.54265295836874,extrapolated
7,2019,3,20.498585745329734,extrapolated
8,2019,3,63.84137233724749,extrapolated
9,2019,3,27.008754073658952,extrapolated
10,2019,3,67.94152821772576,extrapolated
11,2019,3,71.20940835754888,extrapolated
12,2019,3,79.91091285317381,extrapolated
1,2019,4,76.5142685103546,extrapolated
2,2019,4,64.97203621769562,extrapolated
3,2019,4,33.11407975097622,extrapolated
4,2019,4,62.33502764401641,extrapolated
5,2019,4,64.69585091420535,extrapolated
6,2019,4,49.54265295836874,extrapolated
7,2019,4,20.498585745329734,extrapolated
8,2019,4,63.84137233724749,extrapolated
9,2019,4,27.008754073658952,extrapolated
10,2019,4,67.94152821772576,extrapolated
11,2019,4,71.20940835754888,extrapolated
12,2019,4,79.91091285317381,extrapolated
1,2019,5,76.5142685103546,extrapolated
2,2019,5,64.97203621769562,extrapolated
3,2019,5,33.11407975097622,extrapolated
4,2019,5,62.33502764401641,extrapolated
5,2019,5,64.69585091420535,extrapolated
6,2019,5,49.54265295836874,extrapolated
7,2019,5,20.498585745329734,extrapolated
8,2019,5,63.84137233724749,extrapolated
9,2019,5,27.008754073658952,extrapolated
10,2019,5,67.94152821772576,extrapolated
11,2019,5,71.20940835754888,extrapolated
12,2019,5,79.91091285317381,extrapolated
1,2019,6,76.5142685103546,extrapolated
2,2019,6,64.97203621769562,extrapolated
3,2019,6,33.11407975097622,extrapolated
4,2019,6,62.33502764401641,extrapolated
5,2019,6,64.69585091420535,extrapolated
6,2019,6,49.54265295836874,extrapolated
7,2019,6,20.498585745329734,extrapolated
8,2019,6,63.84137233724749,extrapolated
9,2019,6,27.008754073658952,extrapolated
10,2019,6,67.94152821772576,extrapolated
11,2019,6,71.20940835754888,extrapolated
12,2019,6,79.91091285317381,extrapolated
1,2019,7,76.5142685103546,extrapolated
2,2019,7,64.97203621769562,extrapolated
3,2019,7,33.11407975097622,extrapolated
4,2019,7,62.33502764401641,extrapolated
5,2019,7,64.69585091420535,extrapolated
6,2019,7,49.54265295836874,extrapolated
7,2019,7,20.498585745329734,extrapolated
8,2019,7,63.84137233724749,extrapolated
9,2019,7,27.008754073658952,extrapolated
10,2019,7,67.94152821772576,extrapolated
