feature,coefficient,abs_coefficient
year,-0.7807288319112119,0.7807288319112119
population_density,-0.5906683822267902,0.5906683822267902
ndvi,-2.810598799576158,2.810598799576158
ndvi_builtup_interaction,0.3773739408289591,0.3773739408289591
built_up_growth,-0.7744375325477434,0.7744375325477434
ndvi_anomally,1.1117133277162912,1.1117133277162912
lst_anomally,10.14357749543133,10.14357749543133
night_lst,4.4942977487745255,4.4942977487745255
total_population,0.17323331992257948,0.17323331992257948
built_up_pct,-0.10036700698050885,0.10036700698050885
month_sin,4.370462463197636,4.370462463197636
month_cos,2.0890787723119684,2.0890787723119684
lst_lag1,9.073992001766069,9.073992001766069
lst_lag2,-3.6445124036887964,3.6445124036887964
lst_lag3,-0.9131687408762098,0.9131687408762098
lst_3month_avg,1.8128549184633584,1.8128549184633584
lst_12month_avg,-0.6640433337354679,0.6640433337354679
