feature,mean,scale
year,2020.608695652174,1.6613020151776348
population_density,344.78175433624045,236.24486354707037
ndvi,0.4514856140643154,0.13773615717396437
ndvi_builtup_interaction,0.42516649307022997,0.32238413469786886
built_up_growth,0.0018632938981104673,0.00930501515565546
ndvi_anomally,-0.0009822596935841334,0.13089802045367166
lst_anomally,-1.0057681820576516,7.125686145139161
night_lst,19.72833138766134,4.469237981774249
total_population,1768715.9192028984,709547.6390358632
built_up_pct,0.9509809389891671,0.6481431134936754
month_sin,-0.03442070581488274,0.7012982994668521
month_cos,-0.08648209117922799,0.7068025637839294
lst_lag1,33.786624272896056,7.223122946695636
lst_lag2,33.812111366568246,7.214105334228185
lst_lag3,33.72439743654255,7.2599645171665435
lst_3month_avg,33.77437769200233,5.998106538071475
lst_12month_avg,33.81031293519108,1.7758859235703486
