,district_code,district,year,month,lst,night_lst,ndvi,total_population,built_up_area_sq_m,built_up_area_sq_km,district_area_sq_km,built_up_pct,month_sin,month_cos,lst_lag1,lst_lag2,lst_lag3,lst_3month_avg,lst_12month_avg,target_lst,ndvi_builtup_interaction,population_density,built_up_growth,ndvi_annual_average,ndvi_anomally,district_avg_lst,lst_anomally
0,70168,Anuppur,2018,1,24.0498966076317,13.4725849722605,0.379673511504775,682752.8,22421181.7239215,22.4211817239215,3746,0.5985366183641617,0.4997701026431024,0.7073882691671998,,,,,,31.022089801632,0.22724849965851468,182.26182594767752,0.0,0.40482445646978277,-0.02515094496500775,31.450168548731778,
1,70168,Anuppur,2018,2,31.022089801632,14.9837339079816,0.34776981832758,682752.8,22421181.7239215,22.4211817239215,3746,0.5985366183641617,0.8657598394923444,0.0007963267107332,24.0498966076317,,,24.04989660763172,24.04989660763172,39.5980718873758,0.20815297103090863,182.26182594767752,0.0,0.40482445646978277,-0.05705463814220274,31.450168548731778,7.40027194110008
2,70168,Anuppur,2018,3,39.5980718873758,19.0563483269854,0.307356481341938,682752.8,22421181.7239215,22.4211817239215,3746,0.5985366183641617,0.9999996829318346,-0.7062616448200052,31.022089801632,24.0498966076317,,27.53599320463186,27.53599320463186,42.4781628762038,0.18396410897471113,182.26182594767752,0.0,0.40482445646978277,-0.09746797512784477,31.450168548731778,0.42807874709977867
3,70168,Anuppur,2018,4,42.4781628762038,20.9373561972594,0.27031296627713,682752.8,22421181.7239215,22.4211817239215,3746,0.5985366183641617,0.8665558000562658,-0.9999987317275396,39.5980718873758,31.022089801632,24.0498966076317,31.55668609887984,31.55668609887984,42.9446610732606,0.16179220873549907,182.26182594767752,0.0,0.40482445646978277,-0.1345114901926528,31.450168548731778,-8.147903338644024
4,70168,Anuppur,2018,5,42.9446610732606,23.2632373421987,0.274777102963575,682752.8,22421181.7239215,22.4211817239215,3746,0.5985366183641617,0.5011489580136382,-0.7085130991922728,42.4781628762038,39.5980718873758,31.022089801632,37.69944152173721,34.28705529321083,38.7891291119951,0.16446415801171926,182.26182594767752,0.0,0.40482445646978277,-0.13004735350620777,31.450168548731778,-11.027994327472019
5,70168,Anuppur,2018,6,38.7891291119951,25.0232933938752,0.383138431232396,682752.8,22421181.7239215,22.4211817239215,3746,0.5985366183641617,0.0015926529164868,-0.0023889781122815,42.9446610732606,42.4781628762038,39.5980718873758,41.67363194561342,36.0185764492208,30.3910367400929,0.22932238099518823,182.26182594767752,0.0,0.40482445646978277,-0.021686025237386775,31.450168548731778,-11.49449252452882
6,70168,Anuppur,2018,7,30.3910367400929,24.0556786469862,0.38948643146272,682752.8,22421181.7239215,22.4211817239215,3746,0.5985366183641617,-0.4983899795832512,0.7051332290084228,38.7891291119951,42.9446610732606,42.4781628762038,41.40398435381986,36.48033522634985,30.9139888360628,0.23312189158642127,182.26182594767752,0.0,0.40482445646978277,-0.015338025007062772,31.450168548731778,-7.338960563263324
7,70168,Anuppur,2018,8,30.9139888360628,22.0190836437187,0.489858652115007,682752.8,22421181.7239215,22.4211817239215,3746,0.5985366183641617,-0.8649616828896994,0.9999949269133752,30.3910367400929,38.7891291119951,42.9446610732606,37.37494230844956,35.61043544259886,30.5367687182713,0.2931983411133426,182.26182594767752,0.0,0.40482445646978277,0.08503419564522424,31.450168548731778,1.0591318086388775
8,70168,Anuppur,2018,9,30.5367687182713,21.3826622974319,0.641759164986769,682752.8,22421181.7239215,22.4211817239215,3746,0.5985366183641617,-0.999997146387718,0.7096361320420428,30.9139888360628,30.3910367400929,38.7891291119951,33.36471822938363,35.02337961678186,28.3580625788141,0.3841163604153888,182.26182594767752,0.0,0.40482445646978277,0.23693470851698623,31.450168548731778,0.5361797126689787
9,70168,Anuppur,2018,10,28.3580625788141,20.0870570058442,0.535852104743592,682752.8,22421181.7239215,22.4211817239215,3746,0.5985366183641617,-0.8673495625624736,0.0039816234540788,30.5367687182713,30.9139888360628,30.3910367400929,30.61393143147569,34.52486729472513,29.793593146158,0.32072710671654814,182.26182594767752,0.0,0.40482445646978277,0.13102764827380925,31.450168548731778,0.9133998304604773
10,70168,Anuppur,2018,11,29.793593146158,12.9218901015709,0.441123977282227,682752.8,22421181.7239215,22.4211817239215,3746,0.5985366183641617,-0.50252654219733,-0.7040030245947295,28.3580625788141,30.5367687182713,30.9139888360628,29.93627337771611,33.90818682313404,24.1755614506826,0.26402885364185347,182.26182594767752,0.0,0.40482445646978277,0.03629952081244425,31.450168548731778,3.0921059699176787
11,70168,Anuppur,2018,12,24.1755614506826,12.442541350244,0.396784835399684,682752.8,22421181.7239215,22.4211817239215,3746,0.5985366183641617,-0.0031853017931379,-0.999988585567158,29.793593146158,28.3580625788141,30.5367687182713,29.56280814774784,33.53413285249985,24.0498966076317,0.2374902535983074,182.26182594767752,0.0,0.40482445646978277,-0.008039621070098757,31.450168548731778,1.6565754025737789
12,70168,Anuppur,2019,1,24.0498966076317,13.4725849722605,0.374437711147886,688273.4,23076355.5364705,23.0763555364705,3746,0.6160265759869328,0.4997701026431024,0.7073882691671998,24.1755614506826,29.793593146158,28.3580625788141,27.44240572521828,32.75425190234842,30.3292189490657,0.23066358111881638,183.73555792845704,0.017489957622771057,0.44561256767523116,-0.07117485652734518,31.450168548731778,7.274607098049177
13,70168,Anuppur,2019,2,30.3292189490657,14.996980125761,0.351701383391199,688273.4,23076355.5364705,23.0763555364705,3746,0.6160265759869328,0.8657598394923444,0.0007963267107332,24.0498966076317,24.1755614506826,29.793593146158,26.0063504014908,32.75425190234841,36.6334428861265,0.21665739898034783,183.73555792845704,0.0,0.44561256767523116,-0.09391118428403217,31.450168548731778,7.40027194110008
14,70168,Anuppur,2019,3,36.6334428861265,18.5127335836226,0.328424793354752,688273.4,23076355.5364705,23.0763555364705,3746,0.6160265759869328,0.9999996829318346,-0.7062616448200052,30.3292189490657,24.0498966076317,24.1755614506826,26.18489233579336,32.69651266463456,42.9207182890202,0.20231840091954384,183.73555792845704,0.0,0.44561256767523116,-0.11718777432047917,31.450168548731778,1.1209495996660763
15,70168,Anuppur,2019,4,42.9207182890202,21.6894545454545,0.286473394261757,688273.4,23076355.5364705,23.0763555364705,3746,0.6160265759869328,0.8665558000562658,-0.9999987317275396,36.6334428861265,30.3292189490657,24.0498966076317,30.33751948094134,32.44946024786379,45.5462038787641,0.1764752241784248,183.73555792845704,0.0,0.44561256767523116,-0.15913917341347417,31.450168548731778,-5.1832743373947245
16,70168,Anuppur,2019,5,45.5462038787641,24.59095862275,0.288462302599488,688273.4,23076355.5364705,23.0763555364705,3746,0.6160265759869328,0.5011489580136382,-0.7085130991922728,42.9207182890202,36.6334428861265,30.3292189490657,36.62779337473751,32.4863398655985,42.5500098165162,0.17770044457166911,183.73555792845704,0.0,0.44561256767523116,-0.15715026507574315,31.450168548731778,-11.470549740288423
