feature,importance
month_sin,873538.2643456459
month_cos,207893.4203119278
ndvi,96496.97982215881
night_lst,50632.75579428673
year,43392.414694309235
lst_12month_avg,36382.715648412704
lst_lag2,34967.68105983734
lst_3month_avg,20661.77264738083
lst_lag1,12904.656138658524
lst_lag3,8591.784420490265
built_up_pct,4948.7489495277405
total_population,2138.9889273643494
