Dataset,RMSE,MAE,MedAE,MAPE,R2
Training,2.2750719707541127,1.73373354326575,1.4363322824707012,0.06046254407503231,0.9511508308122247
Validation,4.532565579283539,2.9349223951818657,2.3472670061035146,0.2663159237727742,0.7463690832391404
Test,3.4678254575502088,2.527890528090021,1.7239951911010731,0.08301474555601411,0.8051488388032525
